"Unique Investment Identifier","Business Case ID","Agency Code","Agency Name","Investment Title","Contract ID","Agency Contract ID","Contract Status","Contracting Agency ID","Contract Number (PIID)","IDV PIID","IDV Agency ID","Solicitation ID (Agency)","Modular Approaches / Contracting","EVM Required","Match found in USAspending","Vendor Name (USAspending)","Solicitation ID (USAspending)","Action Obligation Amount (In $ million) (USAspending)","Type of Contract (USAspending)","Performance Based Contract (USAspending)","Contract Start Date (USAspending)","Contract End Date (USAspending)","Contract Compete (USAspending)","Contract Description (USAspending)","Base Contract ID (USAspending)","Identifying Agency ID (USAspending)","Transaction Number (USAspending)","Timestamp (Contract)","Timestamp (Base Contract)"
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",32477,4385,Awarded,,DTFAWA-07-C-00067,,,,no,yes,Yes,"ITT CORPORATION",,984.601052,,,,2025-08-31,,,,,,"2015-10-30 15:23:32",
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",32479,4386,Awarded,,DTFAWA-11-D-00017CALL0010,,,,no,no,No,,,,,,,,,,,,,"2015-03-31 14:01:54",
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",32481,4387,Awarded,,DTFAAC-09-D-00081CALL0055,,,,no,no,No,,,,,,,,,,,,,"2015-03-31 14:01:54",
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",32483,4388,Awarded,,DTFAWA-11-C-00003,,,,no,no,Yes,"LOCKHEED MARTIN SERVICES, INC.",,734.988419,,,,2020-10-12,,,,,,"2015-10-30 15:23:32",
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",32485,4389,Awarded,,DTFAWA-09-C-00012,,,,no,no,Yes,"METTERS INDUSTRIES INC",,8.544065,,,,2013-12-28,,,,,,"2015-09-17 18:38:09",
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",32487,4390,Awarded,,DTFAWA-11-A-80000,,,,no,no,Yes,"AUBURN UNIVERSITY",,0.064113,,,,2011-09-30,,,,,,"2016-02-26 20:13:03",
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",44351,29668,Awarded,,DTFAWA-11-X-80007,,,,no,no,No,,,,,,,,,,,,,"2014-09-12 17:20:21",
021-142305975,3,"	021","Department of Transportation","FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)",44353,29669,Awarded,,DTFAWA-11-A-80006,,,,no,no,No,,,,,,,,,,,,,"2014-09-12 17:20:21",
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",46143,,Awarded,"	3600",VA11813F0006,VA11811D0053,"	3600",,yes,no,Yes,"SYSTEMS RESEARCH AND APPLICATIONS CORPORATION",,11.616632,,,,2015-03-11,,,,,,"2015-09-15 15:27:15",
029-888888105,7,"	029","Department of Veterans Affairs","Interagency 21st Century One Vet",50003,,Awarded,"	3600",VA11815F0017,VA11811D0052,"	3600",,yes,no,Yes,"INSIGNIA TECHNOLOGY SERVICES, LLC",,11.286410,"Firm Fixed Price",N,2015-02-25,2016-03-22,N,"IGF::OT::IGF - VRM IAM ACCESS SERVICES DEVELOPMENT AND INTEGRATION SUPPORT SERVICES",225027,"	3600","	0","2016-02-02 20:55:55","2016-02-05 04:42:30"
