PSC Code (Description),4-Digit PSC,Level 1,Level 1 Category,Level 2,Level 2 Category
5805 (TELEPHONE AND TELEGRAPH EQUIPMENT),5805,1,IT,1.2,IT Hardware
5810 (COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS),5810,1,IT,1.4,IT Security
5811 (OTHER CRYPTOLOGIC EQUIPMENT AND COMPONENTS),5811,1,IT ,1.4,IT Security
"5820 (RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE)",5820,1,IT,1.2,IT Hardware
"5821 (RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE)",5821,1,IT,1.2,IT Hardware
5850 (VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT),5850,1,IT,1.2,IT Hardware
5895 (MISCELLANEOUS COMMUNICATION EQUIPMENT),5895,1,IT,1.2,IT Hardware
6007 (FILTERS),6007,1,IT,1.2,IT Hardware
6008 (OPTICAL MULTIPLEXERS/DEMULTIPLEXERS),6008,1,IT,1.2,IT Hardware
6010 (FIBER OPTIC CONDUCTORS),6010,1,IT,1.2,IT Hardware
6015 (FIBER OPTIC CABLES),6015,1,IT,1.2,IT Hardware
6020 (FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES),6020,1,IT,1.2,IT Hardware
6021 (FIBER OPTIC SWITCHES),6021,1,IT,1.2,IT Hardware
6025 (FIBER OPTIC TRANSMITTERS),6025,1,IT,1.2,IT Hardware
6030 (FIBER OPTIC DEVICES),6030,1,IT,1.2,IT Hardware
6031 (INTEGRATED OPTICAL CIRCUITS),6031,1,IT,1.2,IT Hardware
6032 (FIBER OPTIC LIGHT SOURCES AND PHOTO DETECTORS),6032,1,IT,1.2,IT Hardware
6034 (FIBER OPTIC MOD/DEMODULATORS),6034,1,IT,1.2,IT Hardware
6035 (FIBER OPTIC LIGHT TRANSFER AND IMAGE TRANSFER DEVICES),6035,1,IT,1.2,IT Hardware
6040 (FIBER OPTIC SENSORS),6040,1,IT,1.2,IT Hardware
6060 (FIBER OPTIC INTERCONNECTORS),6060,1,IT,1.2,IT Hardware
6070 (FIBER OPTIC ACCESSORIES AND SUPPLIES),6070,1,IT,1.2,IT Hardware
6080 (FIBER OPTIC KITS AND SETS),6080,1,IT,1.2,IT Hardware
6099 (MISCELLANEOUS FIBER OPTIC COMPONENTS),6099,1,IT,1.2,IT Hardware
7010 (ADPE SYSTEM CONFIGURATION),7010,1,IT,1.2,IT Hardware
"7020 (ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), ANALOG)",7020,1,IT,1.2,IT Hardware
"7021 (ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL)",7021,1,IT,1.2,IT Hardware
"7022 (ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), HYBRID)",7022,1,IT,1.2,IT Hardware
7025 (ADP INPUT/OUTPUT AND STORAGE DEVICES),7025,1,IT,1.2,IT Hardware
7030 (ADP SOFTWARE),7030,1,IT,1.1,IT Software
7035 (ADP SUPPORT EQUIPMENT),7035,1,IT,1.2,IT Hardware
